Avtosalon,Qiymet,Valyuta,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Yeniləndi,Baxışların sayı,Extra,Etrafli,Sahiblər,Hansı bazar üçün yığılıb,Yerlərin sayı,Qəzalı
0,13500,AZN,Bakı,Opel,Vectra,2000,Hetçbek,Göy,1.6 L/101 a.g./Benzin,370 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənib", 28.05.2023,267,"Yüngül lehimli disklər, ABS, Kondisioner, Dəri salon, Ksenon lampalar, Yan pərdələr",Salam Barter mümkündür. 1.6 sadə mator mexanika Mator karobka və peredok ideal vəziyyətdədir UPC bufer BMW faralar SHMITZER qrusitel. Hamısı zövqlə yığılıb. Çox gözəl görünüşə malikdir. Ən əsası rasxodsuz maşındır. Şəhər içi 8lt trasda 6.5lt benzin sərfiyyatı var Bugünə olan problemi kondisioneri işləmir və maşına bütöv palirovka lazımdır. Hamısı bur yerdə 500azn xərci olar maksimum. Hər şeyi nəzərə alınıb bu qiymətə qoyulub Nömrə nişanı daxil satılır!.!.,2,Avropa,5,
1,23500,USD,Bakı,Toyota,Corolla,2023,Sedan,Mavi,1.8 L/178 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,12410,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",TOYOTA CAROLLA 2023 ALIŞ. 2 İL 80.000 KM ZƏMANƏT.. BARTER MÜNKÜNDÜR. KREDİT MÜNKÜNDÜR. Əlavə məlumat üçün zəng edin.,1,Rəsmi diler,5,
0,33200,AZN,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.0 L/184 a.g./Dizel,168 636 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,148,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Yeni gelib bakida surlmuyb qiymet mawin yaninda daliwlacaq  polnu ful en full versiya star stop sdenik qizdirici soyuducu polu luk wuwe tavan tecili satilir may ayin 26 tis gelib,1,Avropa,7,
0,17000,AZN,Bakı,Ford,Fusion,2015,Sedan,Göy,1.5 L/181 a.g./Benzin,120 873 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 25.05.2023,3358,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr",Maşın xanım tərəfindən idarə olunub,,,,
0,36000,USD,Bakı,Toyota,RAV4,2022,Offroader / SUV,Qara,2.0 L/173 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,16183,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası",Rəsmi dilerdən 10 il və ya 160.000 km zəmanəti var. Barter mümkündür yalnız avtomobil ilə.,1,,5,
0,25000,AZN,Bakı,Mercedes,E 200,2007,Sedan,Gümüşü,1.8 L/184 a.g./Benzin,204 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,1141,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Oturacaqların ventilyasiyası",Avtomobil Almaniyadan yeni gelib. Ideal veziyyetdedir hec bir xerc teleb etmir.Butun funksiyalar islek veziyyetdedir. Alici istenilen servisde yoxlatddira biler. Kredit lizing mumkundur.,,Avropa,,
0,27900,AZN,Bakı,Chevrolet,Equinox,2017,Offroader / SUV,Tünd qırmızı,1.5 L/170 a.g./Benzin,45 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,128,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Azerbaycana yeni gelib hec bir xerc teleb etmir BEZ KRASKADI harda isteseniz yoxlatdira bilersiz vin kod sekilde qeyd olunub,1,Amerika,5,
0,13400,AZN,Bakı,Opel,Astra,2009,Hetçbek,Boz,1.4 L/90 a.g./Benzin,153 896 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,1282,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner, Ksenon lampalar, Oturacaqların ventilyasiyası",Almanyadan yeni gelib Gömrük olnub nömre alnib Texniki baxis olub Sğorta olnub Mator karopqa casqa ferodo Xadavoy eladi Prabekt arginaldi Kandisaner isleyir KATALZATOR üsdündedir,,,,
0,26500,USD,Bakı,BMW,520,2016,Sedan,Göy,2.0 L/184 a.g./Dizel,135 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,9807,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası","Masin idial veziyyetdedi hec bir prablemi yoxdu xerc teleb etmir ne prablemi cixsa men terefden odenilecek en full versiyadir Distronick Head display 360 derece kamera Orginal adaptiv led fara Ayaq jesti Acarsiz daxil olma Aktiv avto pilot Xett oxuma Connected drive 4 oturacaq qizdirici Avto Hold KATALIZATOR VE DPF ustundedir Prabeq orginaldi harda isteseniz yoxlatdira bilersiniz , Tecili Satilir",,Koreya,5,
0,13500,AZN,Bakı,Chevrolet,Cruze,2012,Sedan,Ağ,1.6 L/124 a.g./Benzin,150 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,6478,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner, Oturacaqların isidilməsi, Arxa görüntü kamerası","MAŞIN ÇOX TƏCİLİ SATILIR!!! Maşın rəsmi servisdən alınıb. Maşının motor, karobkası və peredok sistemi ideal vəziyyətdədir. Heç bir problemi yoxdur, harda istəsəniz yoxlada bilərsiniz. LTZ RS 18 disklər. Android monitor. Qiymətini maşının yanında, real alıcıyla razılaşmaq olar. 9:00 - 22:00 dək zəng edə bilərsiniz.",1,Rəsmi diler,4,
